id,created_at,updated_at,name,innoforest_company_code,thevc_company_code,note,business_number,business_category
13,2024-10-03 20:21:23.089 +0900,2025-03-06 10:21:46.435 +0900,우아한형제들,CP00000008,,,,"이커머스,리뷰,라스트마일,배달,검색/검색엔진,B2B,B2C,플랫폼/마켓플레이스,광고,거래수수료,APP,O2O,코로나,"
20,2024-10-03 20:21:27.435 +0900,2025-03-06 10:22:25.269 +0900,야놀자,CP00000019,,,,"숙박,B2B,B2C,APP,WEB,레저/액티비티,캠핑,여행정보,플랫폼/마켓플레이스,거래수수료,광고,검색/검색엔진,O2O,"
8,2024-10-03 20:21:20.267 +0900,2025-03-06 10:21:28.832 +0900,라포랩스,CP00003232,,,,"이커머스,시니어/실버,큐레이션,의류,신발,패션잡화,쥬얼리,명품/중고명품,인공지능,빅데이터,B2C,여성,플랫폼/마켓플레이스,거래수수료,APP,O2O,비대면/무인시스템/Untact,"
16,2024-10-03 20:21:24.795 +0900,2025-03-06 10:21:24.466 +0900,무신사,CP00001972,,,,"이커머스,유통,커뮤니티,의류,신발,패션잡화,쥬얼리,명품/중고명품,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어,O2O,오프라인매장,"
6,2024-10-03 20:21:18.848 +0900,2025-03-06 10:21:35.474 +0900,당근마켓,CP00000086,,,,"이커머스,중고,B2C,플랫폼/마켓플레이스,APP,WEB,중고거래/중고명품,O2O,리셀,"
1,2024-10-03 20:21:15.221 +0900,2025-03-06 10:21:36.641 +0900,비바리퍼블리카,CP00000013,,,,"결제/페이먼트,보험/인슈어테크,주식/증권,은행,B2B,B2C,거래수수료,APP,"
7,2024-10-03 20:21:19.507 +0900,2024-10-03 20:21:19.525 +0900,컬리,CP00000048,,,,"이커머스,라스트마일,신선식품,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어,비대면/무인시스템/Untact,여성창업 ,"
5,2024-10-03 20:21:18.321 +0900,2025-03-06 10:21:30.222 +0900,버킷플레이스,CP00000005,,,,"인테리어,B2B,B2C,APP,WEB,가구,생활용품/소품,이커머스,커뮤니티,플랫폼/마켓플레이스,거래수수료,콘텐츠,검색/검색엔진,"
14,2024-10-03 20:21:23.625 +0900,2025-03-06 10:23:38.710 +0900,쏘카,CP00000029,,,,"카쉐어링/차량공유,B2B,B2C,렌탈/대여,APP,공유경제/긱이코노미,"
25,2024-10-03 20:21:31.422 +0900,2025-03-06 10:22:10.579 +0900,카카오스타일,CP00000033,,,,"이커머스,큐레이션,리뷰,의류,신발,패션잡화,쥬얼리,패션테크,인공지능,빅데이터,B2C,여성,플랫폼/마켓플레이스,APP,상품/하드웨어,"
10,2024-10-03 20:21:21.289 +0900,2025-03-06 10:22:01.584 +0900,브레이브모바일,CP00000030,,,,"재능공유,B2B,B2C,WEB,아웃소싱,인테리어,리모델링,가사노동,커뮤니티,플랫폼/마켓플레이스,거래수수료,교육/컨설팅/용역,공유경제/긱이코노미,APP,"
33,2024-10-03 20:21:36.717 +0900,2025-03-06 10:24:58.930 +0900,네이버,CP00000866,,,,"SNS,커뮤니티,메세지 ,검색/검색엔진,B2B,B2C,SaaS/엔터프라이즈,광고,거래수수료,APP,WEB,소프트웨어,콘텐츠,"
11,2024-10-03 20:21:21.889 +0900,2025-03-06 10:21:59.076 +0900,모두싸인,CP00000319,,,,"협업툴/생산성,법률,전자계약,B2B,SaaS/엔터프라이즈,구독,WEB,소프트웨어,비대면/무인시스템/Untact,"
12,2024-10-03 20:21:22.492 +0900,2025-03-06 10:24:03.473 +0900,엘박스,CP00001728,,,,"법률,B2B,B2C,클라우드,SaaS/엔터프라이즈,구독,WEB,데이터/API,검색/검색엔진,구독경제,"
9,2024-10-03 20:21:20.802 +0900,2025-03-06 10:23:13.146 +0900,퓨쳐스콜레,CP00010373,,,,"영상/비디오,비대면교육,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크,"
3,2024-10-03 20:21:16.828 +0900,2025-03-06 10:21:15.745 +0900,레브잇,CP00010087,,,,"이커머스,리뷰,신선식품,가공식품,생활용품/소품,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,WEB,리워드,"
26,2024-10-03 20:21:31.882 +0900,2025-03-06 20:48:22.929 +0900,카카오헬스케어,CP00012899,,,,"디지털헬스케어,병원정보,인공지능,데이터,B2C,SaaS/엔터프라이즈,WEB,"
15,2024-10-03 20:21:24.187 +0900,2025-03-06 10:23:07.541 +0900,직방,CP00000021,,,,"부동산중개,프롭테크,상권분석,B2B,B2C,플랫폼/마켓플레이스,광고,APP,WEB,O2O,"
18,2024-10-03 20:21:25.939 +0900,2025-03-06 10:23:00.842 +0900,여기어때컴퍼니,CP00000020,,,,"숙박,여행정보,레저/액티비티,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,O2O,"
19,2024-10-03 20:21:26.899 +0900,2025-03-06 10:22:49.561 +0900,위대한상상,CP00000015,,,,"배달,B2B,B2C,이커머스,플랫폼/마켓플레이스,거래수수료,광고,APP,O2O,"
21,2024-10-03 20:21:28.327 +0900,2024-10-03 20:21:28.346 +0900,야놀자에프앤비솔루션,CP00000674,,,,"식당예약,맛집정보/리뷰,CRM,B2B,SaaS/엔터프라이즈,APP,오프라인매장,비대면/무인시스템/Untact,"
22,2024-10-03 20:21:29.025 +0900,2024-10-03 20:21:29.047 +0900,야놀자클라우드코리아,CP00014375,,,,"클라우드,B2B,SaaS/엔터프라이즈,소프트웨어,"
23,2024-10-03 20:21:30.081 +0900,2024-10-03 20:21:30.100 +0900,카카오,CP00000144,,,,"미디어,음악,영화,영상/비디오,SNS,메세지 ,지도/네비게이션/GPS,B2B,B2C,플랫폼/마켓플레이스,APP,콘텐츠,"
